segment,model,series_id,row_count,mae,rmse,mape_percent
large_change_relative_top_25_percent,gradient_boosting,51,1,1.700900342974733,1.700900342974733,23.460694385858385
large_change_relative_top_25_percent,ridge,3,1,0.11382722854614258,0.11382722854614258,13.008826119559153
large_change_relative_top_25_percent,ridge,16,6,1.5930590470631916,1.6165119558341021,20.209582990808542
large_change_relative_top_25_percent,ridge,19,8,0.6554461145401002,0.7305836533245862,15.958523339689739
large_change_relative_top_25_percent,ridge,20,5,1.259287704467773,1.3346468354108607,27.162522158783176
large_change_relative_top_25_percent,ridge,22,3,2.7327663421630857,2.789323568794501,21.236910856195426
large_change_relative_top_25_percent,ridge,23,5,1.6544451164245604,1.842565503233793,27.66608792467239
large_change_relative_top_25_percent,ridge,26,6,2.4591650009155273,2.4845857076724602,23.001084916101703
large_change_relative_top_25_percent,ridge,28,1,0.12506821823120107,0.12506821823120107,12.419882644607853
large_change_relative_top_25_percent,ridge,29,4,0.5744608402252198,0.59146763394162,20.604507342612923
large_change_relative_top_25_percent,ridge,30,4,0.7315700292587282,0.7398121852956542,18.948226345988413
large_change_relative_top_25_percent,ridge,31,2,0.37401884078979497,0.3796797668542851,17.31948532117984
large_change_relative_top_25_percent,ridge,32,1,0.328863639831543,0.328863639831543,13.050144437759641
large_change_relative_top_25_percent,ridge,33,4,1.013767569065094,1.0500537235669403,44.911872724122546
large_change_relative_top_25_percent,ridge,34,10,0.6036452026367186,0.9951764331557574,22.534664065263478
large_change_relative_top_25_percent,ridge,35,5,3.3151973724365233,3.5755987359424264,27.779324182225118
large_change_relative_top_25_percent,ridge,36,2,0.9117488861083984,0.9125410473439544,21.647300050969708
large_change_relative_top_25_percent,ridge,37,4,0.634473671913147,0.7172072111035391,26.624163839532557
large_change_relative_top_25_percent,ridge,39,1,3.211740493774414,3.211740493774414,21.411603291829426
large_change_relative_top_25_percent,ridge,50,3,9.19335085550944,9.871418696621323,56.14530133837052
large_change_relative_top_25_percent,ridge,51,1,0.7461624145507812,0.7461624145507812,10.291895373114224
